_id,title,description,category,audience,department,section,priority,isPinned,expiryDate,createdAt,updatedAt,__v
69e2fde48a75c10c62fe8101,"Mid Term Incomplete/Improvement Registration Spring 2026","Registration for incomplete/improvement courses for Spring 2026 Mid Term is open from Feb 16-18 2026 (10 AM-4 PM). Register online via www.portcity.edu.bd Academic Menu or Quick Links. Contact program officers for help: CSE/EEE/MCSE/BTE/CEN - Mr. Abdul Khalek (01916974387), BBA/MBA/BFT/LLB/LMF - Mosammat Mahbuba Akter (01983370623), JRN/MJR/ENG/ENF - Mr. Oahidul Hossen (01806247144).","academic","students","","","high","true","2026-02-19T00:00:00.000Z","2026-02-16T00:00:00.000Z","2026-02-16T00:00:00.000Z","0"
69e2fde48a75c10c62fe8102,"University Closed for 13th National Parliament Election","The university will remain closed from February 11 to 13 2026 due to the upcoming National Parliament Election. All classes and office activities are suspended. Regular operations resume on February 14 2026.","general","all","","","high","true","2026-02-14T00:00:00.000Z","2026-02-02T00:00:00.000Z","2026-02-02T00:00:00.000Z","0"
69e2fde48a75c10c62fe8103,"BIJU Festival and Pahela Boishakh Holiday Notice","No classes will be held from April 12-14 2026 for BIJU Festival and Bengali New Year. Classes resume April 15 2026 (Wednesday). University closed on April 14 (Pahela Boishakh). Offices remain open on April 12 and 13 2026.","general","all","","","medium","false","2026-04-15T00:00:00.000Z","2026-04-08T00:00:00.000Z","2026-04-08T00:00:00.000Z","0"
69e2fde48a75c10c62fe8104,"Ramadan Shab-e-Kadar Eid-ul-Fitr and Independence Day Vacation","University will remain closed from March 13-28 2026 for Holy Ramadan Shab-e-Kadar Eid-ul-Fitr and Independence Day. All classes and office activities resume March 29 2026 (Sunday). Security office remains open during vacation.","general","all","","","high","true","2026-03-29T00:00:00.000Z","2026-03-07T00:00:00.000Z","2026-03-07T00:00:00.000Z","0"
69e2fde48a75c10c62fe8105,"CSE 327 SE Assignment All Types of Software Testing","Software Engineering assignment on All types of testing: unit testing integration testing (Big Bang Top-Down Bottom-Up Sandwich) white box testing black box testing Alpha testing Beta testing with proper diagrams. Due date: May 12 2026. Submit via LMS.","academic","students","CSE","31A","urgent","true","2026-05-13T00:00:00.000Z","2026-04-28T00:00:00.000Z","2026-04-28T00:00:00.000Z","0"
69e2fde48a75c10c62fe8106,"Spring 2026 Semester Registration Deadline Extended","The registration deadline for Spring 2026 semester has been extended until May 30 2026. Students who have not completed registration must do so immediately to avoid late fees. Visit www.portcity.edu.bd for online registration.","academic","students","","","high","true","2026-05-31T00:00:00.000Z","2026-05-01T00:00:00.000Z","2026-05-01T00:00:00.000Z","0"
69e2fde48a75c10c62fe8107,"Midterm Examination Schedule Spring 2026","Midterm examinations will be held from June 10-20 2026. Detailed subject-wise schedule and seating arrangement will be published on the notice board and university website by June 1 2026. Students must carry valid ID cards to exams.","exam","students","","","urgent","true","2026-06-25T00:00:00.000Z","2026-05-05T00:00:00.000Z","2026-05-05T00:00:00.000Z","0"
69e2fde48a75c10c62fe8108,"Mandatory Faculty Meeting May 15 2026","All faculty members must attend the mandatory meeting on May 15 2026 at 3:00 PM in the Conference Room. Agenda: curriculum review upcoming exam preparation and research initiatives. Attendance will be recorded.","general","faculty","","","medium","false","2026-05-16T00:00:00.000Z","2026-05-03T00:00:00.000Z","2026-05-03T00:00:00.000Z","0"
69e2fde48a75c10c62fe8109,"CSE Department Annual Programming Contest 2026","Annual Programming Contest on May 20 2026 at CSE Lab. Topics: Data Structures Algorithms and Problem Solving. Open to all CSE students. Register by May 18. Prizes for top 3 winners. Contact CSE department for details.","event","students","CSE","","high","true","2026-05-25T00:00:00.000Z","2026-05-02T00:00:00.000Z","2026-05-02T00:00:00.000Z","0"
69e2fde48a75c10c62fe8110,"Software Engineering Final Project Submission","Final project submission for SE course due May 30 2026. All groups must submit complete documentation source code and presentation slides via LMS. Late submissions will NOT be accepted under any circumstances.","academic","students","CSE","31A","urgent","true","2026-06-05T00:00:00.000Z","2026-05-04T00:00:00.000Z","2026-05-04T00:00:00.000Z","0"
