item_id,item_name,description,category,location,status
1,id card,black leather id card seen around corridor,document,corridor,found
2,headphones,lost grey headphones close to parking area,electronics,parking area,lost
3,umbrella,umbrella of red color found in bus stop,accessory,bus stop,lost
4,pen drive,green metal pen drive seen around auditorium,electronics,auditorium,found
5,glasses,white metal glasses seen around bus stop,accessory,bus stop,lost
6,watch,watch possibly left in corridor,accessory,corridor,found
7,charger,green charger spotted at library,electronics,library,lost
8,charger,brown colored charger near parking area,electronics,parking area,found
9,headphones,lost yellow headphones close to computer lab,electronics,computer lab,lost
10,backpack,backpack located in parking area area,bag,parking area,found
11,pen drive,lost white pen drive close to auditorium,electronics,auditorium,lost
12,notebook,white notebook spotted at library,stationery,library,lost
13,wallet,wallet of brown color found in playground,wallet,playground,lost
14,earbuds,red earbuds spotted at corridor,electronics,corridor,found
15,backpack,purple fabric backpack with logo near classroom,bag,classroom,lost
16,backpack,backpack of brown color found in library,bag,library,lost
17,umbrella,brown umbrella spotted at classroom,accessory,classroom,lost
18,calculator,found calculator with slightly damaged in cafeteria,electronics,cafeteria,found
19,power bank,power bank possibly left in playground,electronics,playground,found
20,calculator,grey colored calculator near auditorium,electronics,auditorium,found
21,charger,rubber charger with zipper around corridor,electronics,corridor,lost
22,keys,yellow plastic keys with scratches near canteen,accessory,canteen,found
23,textbook,metal textbook slightly damaged around computer lab,book,computer lab,found
24,handbag,found handbag with with zipper in bus stop,bag,bus stop,found
25,laptop,green rubber laptop seen around parking area,electronics,parking area,lost
26,watch,purple fabric watch slightly damaged near computer lab,accessory,computer lab,lost
27,watch,watch possibly left in canteen,accessory,canteen,found
28,pen drive,yellow colored pen drive near corridor,electronics,corridor,lost
29,pen drive,silver colored pen drive near library,electronics,library,lost
30,power bank,blue colored power bank near canteen,electronics,canteen,found
31,tablet,purple rubber tablet seen around library,electronics,library,lost
32,glasses,lost white glasses close to library,accessory,library,found
33,watch,plastic watch with name written around library,accessory,library,lost
34,phone,phone located in playground area,phone,playground,lost
35,backpack,red fabric backpack seen around cafeteria,bag,cafeteria,found
36,notebook,notebook of brown color found in playground,stationery,playground,found
37,glasses,glasses possibly left in auditorium,accessory,auditorium,found
38,textbook,silver textbook spotted at canteen,book,canteen,found
39,headphones,headphones located in canteen area,electronics,canteen,lost
40,notebook,notebook possibly left in classroom,stationery,classroom,found
41,laptop,plastic laptop with name written around computer lab,electronics,computer lab,lost
42,watch,watch located in classroom area,accessory,classroom,lost
43,id card,found id card with with stickers in classroom,document,classroom,found
44,keys,keys of yellow color found in bus stop,accessory,bus stop,found
45,pen drive,fabric pen drive slightly damaged around bus stop,electronics,bus stop,lost
46,laptop,found laptop with with name written in bus stop,electronics,bus stop,found
47,id card,id card of grey color found in library,document,library,lost
48,backpack,backpack located in library area,bag,library,found
49,phone,purple leather phone seen around cafeteria,phone,cafeteria,found
50,umbrella,red umbrella spotted at canteen,accessory,canteen,lost
51,handbag,blue colored handbag near canteen,bag,canteen,found
52,phone,found phone with slightly damaged in computer lab,phone,computer lab,found
53,water bottle,lost red water bottle close to classroom,accessory,classroom,lost
54,laptop,white fabric laptop with scratches near corridor,electronics,corridor,found
55,earbuds,lost blue earbuds close to parking area,electronics,parking area,lost
